Product,Week,2018,2019,2020,2021,,
Motor Vehicles and Parts,Week 41(Oct-03),5266,5072,5042,null,,
Motor Vehicles and Parts,Week 42 (Oct-10),5682,4619,4462,null,,
Motor Vehicles and Parts,Week 43 (Oct-17),5512,5016,4904,null,,
Motor Vehicles and Parts,Week 44 (Oct-24),5447,5523,5364,null,,
Motor Vehicles and Parts,Week 45 (Oct-31),5588,6112,5141,null,,
Motor Vehicles and Parts,Week 46 (Nov-07),4936,5603,4539,null,,
Motor Vehicles and Parts,Week 47 (Nov-14),5289,5126,5204,null,,
Motor Vehicles and Parts,Week 48 (Nov-21),5705,4686,4550,null,,
Motor Vehicles and Parts,Week 49 (Nov-28),5455,5967,5028,null,,
Motor Vehicles and Parts,Week 50 (Dec-05),6160,6199,5461,null,,
Motor Vehicles and Parts,Week 51 (Dec-12),5160,5803,5686,null,,
Motor Vehicles and Parts,Week 52 (Dec-19),2383,2150,3678,null,,
Nonmetallic Minerals,Week 1 (Dec-27),5610,4976,5336,4626,,
Nonmetallic Minerals,Week 2 (Jan-03),6612,6956,5827,null,,
Nonmetallic Minerals,Week 3 (Jan-10),7081,6196,5199,null,,
Nonmetallic Minerals,Week 4 (Jan-17),7137,6202,5701,null,,
Nonmetallic Minerals,Week 5 (Jan-24),7788,5724,5972,null,,
Nonmetallic Minerals,Week 6 (Jan-31),6593,5518,6342,null,,
Nonmetallic Minerals,Week 7 (Feb-07),6000,5682,5873,null,,
Nonmetallic Minerals,Week 8 (Feb-14),7132,6597,6023,null,,
Nonmetallic Minerals,Week 9 (Feb-21),7448,5869,6622,null,,
Nonmetallic Minerals,Week 10 (Feb-28),7219,6620,6483,null,,
Nonmetallic Minerals,Week 11 (Mar-07),7047,6583,6219,null,,
Nonmetallic Minerals,Week 12 (Mar-14),7975,6875,6046,null,,
Nonmetallic Minerals,Week 13 (Mar-21),7612,7222,5507,null,,
Nonmetallic Minerals,Week 14 (Mar-28),7848,8149,4787,null,,
Nonmetallic Minerals,Week 15 (Apr-04),7922,6868,5350,null,,
Nonmetallic Minerals,Week 16 (Apr-11),6968,7415,4201,null,,
Nonmetallic Minerals,Week 17 (Apr-18),8351,7064,4520,null,,
Nonmetallic Minerals,Week 18 (Apr-25),8427,7233,4316,null,,
Nonmetallic Minerals,Week 19 (May-2),8915,7758,3875,null,,
Nonmetallic Minerals,Week 20 (May-09),9340,7458,3897,null,,
Nonmetallic Minerals,Week 21 (May-16),9068,7690,3578,null,,
Nonmetallic Minerals,Week 22 (May-23),9640,7040,3952,null,,
Nonmetallic Minerals,Week 23 (May-30),8556,8221,4297,null,,
Nonmetallic Minerals,Week 24 (June-6),8676,7302,4676,null,,
Nonmetallic Minerals,Week 25 (June-13),8810,7565,4854,null,,
Nonmetallic Minerals,Week 26 (June-20),8843,8565,4537,null,,
Nonmetallic Minerals,Week 27 (Jun-27),7414,7215,4583,null,,
Nonmetallic Minerals,Week 28 (Jul-04),9692,7570,4879,null,,
Nonmetallic Minerals,Week 29 (Jul-11),8779,8453,5529,null,,
Nonmetallic Minerals,Week 30 (Jul-18),8945,7910,4907,null,,
Nonmetallic Minerals,Week 31 (Jul-25),8834,7785,5519,null,,
Nonmetallic Minerals,Week 32 (Aug-01),7957,7680,5600,null,,
Nonmetallic Minerals,Week 33 (Aug-08),7959,7533,6205,null,,
Nonmetallic Minerals,Week 34 (Aug-15),8632,7811,5363,null,,
Nonmetallic Minerals,Week 35(Aug-24),8407,7844,5901,null,,
Nonmetallic Minerals,Week 36(Aug-29),8108,6391,5924,null,,
Nonmetallic Minerals,Week 37(Sep-05),7719,6368,6123,null,,
Nonmetallic Minerals,Week 38(Sep-12),8045,6115,6363,null,,
Nonmetallic Minerals,Week 39(Sep-19),7813,6546,6077,null,,
Nonmetallic Minerals,Week 40(Sep-26),7033,6994,6222,null,,
Nonmetallic Minerals,Week 41(Oct-03),7105,5454,5790,null,,
Nonmetallic Minerals,Week 42 (Oct-10),7638,6262,5094,null,,
Nonmetallic Minerals,Week 43 (Oct-17),7556,6941,5032,null,,
Nonmetallic Minerals,Week 44 (Oct-24),8052,6103,5077,null,,
Nonmetallic Minerals,Week 45 (Oct-31),7036,5172,5182,null,,
Nonmetallic Minerals,Week 46 (Nov-07),6305,5805,4466,null,,
Nonmetallic Minerals,Week 47 (Nov-14),5055,3806,5717,null,,
Nonmetallic Minerals,Week 48 (Nov-21),5768,3794,4530,null,,
