Day,Province,Year,Demand
5-1,Alberta,2017,225887
5-2,Alberta,2017,237041
5-3,Alberta,2017,243508
5-4,Alberta,2017,244818
5-5,Alberta,2017,245227
5-6,Alberta,2017,246090
5-7,Alberta,2017,240783
6-1,Alberta,2017,240697
6-2,Alberta,2017,252644
6-3,Alberta,2017,253439
6-4,Alberta,2017,252090
6-5,Alberta,2017,248417
6-6,Alberta,2017,243013
6-7,Alberta,2017,232456
7-1,Alberta,2017,228880
7-2,Alberta,2017,233568
7-3,Alberta,2017,231207
7-4,Alberta,2017,229211
7-5,Alberta,2017,229023
7-6,Alberta,2017,229360
7-7,Alberta,2017,226589
8-1,Alberta,2017,222775
8-2,Alberta,2017,226214
8-3,Alberta,2017,235402
8-4,Alberta,2017,238311
8-5,Alberta,2017,240130
8-6,Alberta,2017,242265
8-7,Alberta,2017,236149
9-1,Alberta,2017,236995
9-2,Alberta,2017,243528
9-3,Alberta,2017,242832
9-4,Alberta,2017,241049
9-5,Alberta,2017,238571
9-6,Alberta,2017,234651
9-7,Alberta,2017,234032
10-1,Alberta,2017,234279
10-2,Alberta,2017,242497
10-3,Alberta,2017,244142
10-4,Alberta,2017,244520
10-5,Alberta,2017,247462
10-6,Alberta,2017,248131
10-7,Alberta,2017,241151
11-1,Alberta,2017,226277
11-2,Alberta,2017,240203
11-3,Alberta,2017,232300
11-4,Alberta,2017,227844
11-5,Alberta,2017,230331
11-6,Alberta,2017,226469
11-7,Alberta,2017,217676
12-1,Alberta,2017,220840
12-2,Alberta,2017,232645
12-3,Alberta,2017,230616
12-4,Alberta,2017,226971
12-5,Alberta,2017,227443
12-6,Alberta,2017,224571
12-7,Alberta,2017,215770
13-1,Alberta,2017,212875
13-2,Alberta,2017,221372
13-3,Alberta,2017,223237
13-4,Alberta,2017,221934
13-5,Alberta,2017,223320
13-6,Alberta,2017,220387
13-7,Alberta,2017,212313
14-1,Alberta,2017,209614
14-2,Alberta,2017,218329
14-3,Alberta,2017,218386
14-4,Alberta,2017,216795
14-5,Alberta,2017,215811
14-6,Alberta,2017,215446
14-7,Alberta,2017,210571
1-1,Alberta,2018,
1-2,Alberta,2018,245750
1-3,Alberta,2018,245728
1-4,Alberta,2018,245649
1-5,Alberta,2018,245653
1-6,Alberta,2018,246495
1-7,Alberta,2018,235824
2-1,Alberta,2018,235339
2-2,Alberta,2018,246642
2-3,Alberta,2018,253662
2-4,Alberta,2018,262068
2-5,Alberta,2018,264073
2-6,Alberta,2018,258564
2-7,Alberta,2018,243625
3-1,Alberta,2018,240620
3-2,Alberta,2018,253068
3-3,Alberta,2018,246974
3-4,Alberta,2018,239592
3-5,Alberta,2018,236830
3-6,Alberta,2018,238230
3-7,Alberta,2018,234736
4-1,Alberta,2018,237072
4-2,Alberta,2018,244042
4-3,Alberta,2018,245632
4-4,Alberta,2018,243426
4-5,Alberta,2018,248468
4-6,Alberta,2018,251731
4-7,Alberta,2018,249041
5-1,Alberta,2018,250528
5-2,Alberta,2018,255240
5-3,Alberta,2018,251593
5-4,Alberta,2018,259737
5-5,Alberta,2018,260021
5-6,Alberta,2018,258022
5-7,Alberta,2018,253514
6-1,Alberta,2018,249698
6-2,Alberta,2018,256797
6-3,Alberta,2018,257684
6-4,Alberta,2018,257525
6-5,Alberta,2018,259020
6-6,Alberta,2018,259606
6-7,Alberta,2018,250056
7-1,Alberta,2018,251699
7-2,Alberta,2018,259226
7-3,Alberta,2018,246445
7-4,Alberta,2018,250412
7-5,Alberta,2018,255028
7-6,Alberta,2018,250108
7-7,Alberta,2018,245914
8-1,Alberta,2018,247696
8-2,Alberta,2018,248303
8-3,Alberta,2018,255146
8-4,Alberta,2018,252598
8-5,Alberta,2018,250097
8-6,Alberta,2018,249853
8-7,Alberta,2018,238802
9-1,Alberta,2018,237892
9-2,Alberta,2018,246972
9-3,Alberta,2018,243858
