Date,Province,Confirmed,Deaths
Mar-10,Newfoundland and Labrador,0,0
Mar-11,Newfoundland and Labrador,0,0
Mar-12,Newfoundland and Labrador,0,0
Mar-13,Newfoundland and Labrador,0,0
Mar-14,Newfoundland and Labrador,0,0
Mar-15,Newfoundland and Labrador,1,0
Mar-16,Newfoundland and Labrador,1,0
Mar-17,Newfoundland and Labrador,3,0
Mar-18,Newfoundland and Labrador,3,0
Mar-19,Newfoundland and Labrador,3,0
Mar-20,Newfoundland and Labrador,4,0
Mar-21,Newfoundland and Labrador,6,0
Mar-22,Newfoundland and Labrador,9,0
Mar-23,Newfoundland and Labrador,24,0
Mar-24,Newfoundland and Labrador,35,0
Mar-25,Newfoundland and Labrador,35,0
Mar-26,Newfoundland and Labrador,82,0
Mar-27,Newfoundland and Labrador,102,0
Mar-28,Newfoundland and Labrador,120,0
Mar-29,Newfoundland and Labrador,135,0
Mar-30,Newfoundland and Labrador,148,1
Mar-31,Newfoundland and Labrador,152,1
Apr-01,Newfoundland and Labrador,175,1
Apr-02,Newfoundland and Labrador,183,1
Apr-03,Newfoundland and Labrador,195,1
Apr-04,Newfoundland and Labrador,195,1
Apr-05,Newfoundland and Labrador,217,1
Apr-06,Newfoundland and Labrador,226,1
Apr-07,Newfoundland and Labrador,228,1
Apr-08,Newfoundland and Labrador,228,1
Apr-09,Newfoundland and Labrador,232,2
Apr-10,Newfoundland and Labrador,239,3
Apr-11,Newfoundland and Labrador,241,3
Apr-12,Newfoundland and Labrador,242,3
Apr-13,Newfoundland and Labrador,244,3
Apr-14,Newfoundland and Labrador,244,3
Apr-15,Newfoundland and Labrador,247,3
Apr-16,Newfoundland and Labrador,252,3
Apr-17,Newfoundland and Labrador,256,3
Apr-18,Newfoundland and Labrador,257,3
Apr-19,Newfoundland and Labrador,257,3
Apr-20,Newfoundland and Labrador,257,3
Apr-21,Newfoundland and Labrador,257,3
Apr-22,Newfoundland and Labrador,256,3
Apr-23,Newfoundland and Labrador,256,3
Apr-24,Newfoundland and Labrador,256,3
Apr-25,Newfoundland and Labrador,257,3
Apr-26,Newfoundland and Labrador,258,3
Apr-27,Newfoundland and Labrador,258,3
Apr-28,Newfoundland and Labrador,258,3
Apr-29,Newfoundland and Labrador,258,3
Apr-30,Newfoundland and Labrador,258,3
May-01,Newfoundland and Labrador,259,3
May-02,Newfoundland and Labrador,259,3
May-03,Newfoundland and Labrador,259,3
May-04,Newfoundland and Labrador,259,3
May-05,Newfoundland and Labrador,259,3
May-06,Newfoundland and Labrador,259,3
May-07,Newfoundland and Labrador,261,3
May-08,Newfoundland and Labrador,261,3
May-09,Newfoundland and Labrador,261,3
May-10,Newfoundland and Labrador,261,3
May-11,Newfoundland and Labrador,261,3
May-12,Newfoundland and Labrador,261,3
May-13,Newfoundland and Labrador,261,3
May-14,Newfoundland and Labrador,261,3
May-15,Newfoundland and Labrador,260,3
May-16,Newfoundland and Labrador,260,3
May-17,Newfoundland and Labrador,260,3
May-18,Newfoundland and Labrador,260,3
May-19,Newfoundland and Labrador,260,3
May-20,Newfoundland and Labrador,260,3
May-21,Newfoundland and Labrador,260,3
May-22,Newfoundland and Labrador,260,3
May-23,Newfoundland and Labrador,260,3
May-24,Newfoundland and Labrador,260,3
May-25,Newfoundland and Labrador,260,3
May-26,Newfoundland and Labrador,260,3
May-27,Newfoundland and Labrador,260,3
May-28,Newfoundland and Labrador,261,3
May-29,Newfoundland and Labrador,261,3
May-30,Newfoundland and Labrador,261,3
May-31,Newfoundland and Labrador,261,3
Jun-01,Newfoundland and Labrador,261,3
Jun-02,Newfoundland and Labrador,261,3
Jun-03,Newfoundland and Labrador,261,3
Jun-04,Newfoundland and Labrador,261,3
Jun-05,Newfoundland and Labrador,261,3
Jun-06,Newfoundland and Labrador,261,3
Jun-07,Newfoundland and Labrador,261,3
Jun-08,Newfoundland and Labrador,261,3
Jan-22,Nova Scotia,0,0
Jan-23,Nova Scotia,0,0
Jan-24,Nova Scotia,0,0
Jan-25,Nova Scotia,0,0
Jan-26,Nova Scotia,0,0
Jan-27,Nova Scotia,0,0
Jan-28,Nova Scotia,0,0
Jan-29,Nova Scotia,0,0
Jan-30,Nova Scotia,0,0
Jan-31,Nova Scotia,0,0
Feb-01,Nova Scotia,0,0
Feb-02,Nova Scotia,0,0
Feb-03,Nova Scotia,0,0
Feb-04,Nova Scotia,0,0
Feb-05,Nova Scotia,0,0
Feb-06,Nova Scotia,0,0
Feb-07,Nova Scotia,0,0
Feb-08,Nova Scotia,0,0
Feb-09,Nova Scotia,0,0
Feb-10,Nova Scotia,0,0
Feb-11,Nova Scotia,0,0
Feb-12,Nova Scotia,0,0
Feb-13,Nova Scotia,0,0
Feb-14,Nova Scotia,0,0
Feb-15,Nova Scotia,0,0
Feb-16,Nova Scotia,0,0
Feb-17,Nova Scotia,0,0
Feb-18,Nova Scotia,0,0
Feb-19,Nova Scotia,0,0
Feb-20,Nova Scotia,0,0
Feb-21,Nova Scotia,0,0
Feb-22,Nova Scotia,0,0
Feb-23,Nova Scotia,0,0
Feb-24,Nova Scotia,0,0
Feb-25,Nova Scotia,0,0
Feb-26,Nova Scotia,0,0
Feb-27,Nova Scotia,0,0
Feb-28,Nova Scotia,0,0
Feb-29,Nova Scotia,0,0
Mar-01,Nova Scotia,0,0
Mar-02,Nova Scotia,0,0
Mar-03,Nova Scotia,0,0
Mar-04,Nova Scotia,0,0
Mar-05,Nova Scotia,0,0
Mar-06,Nova Scotia,0,0
Mar-07,Nova Scotia,0,0
Mar-08,Nova Scotia,0,0
Mar-09,Nova Scotia,0,0
Mar-10,Nova Scotia,0,0
Mar-11,Nova Scotia,0,0
Mar-12,Nova Scotia,0,0
Mar-13,Nova Scotia,0,0
Mar-14,Nova Scotia,0,0
Mar-15,Nova Scotia,0,0
Mar-16,Nova Scotia,5,0
Mar-17,Nova Scotia,7,0
Mar-18,Nova Scotia,12,0
Mar-19,Nova Scotia,14,0
Mar-20,Nova Scotia,15,0
Mar-21,Nova Scotia,21,0
Mar-22,Nova Scotia,28,0
Mar-23,Nova Scotia,41,0
Mar-24,Nova Scotia,51,0
Mar-25,Nova Scotia,68,0
Mar-26,Nova Scotia,73,0
Mar-27,Nova Scotia,90,0
Mar-28,Nova Scotia,110,0
Mar-29,Nova Scotia,122,0
Mar-30,Nova Scotia,127,0
Mar-31,Nova Scotia,147,0
Apr-01,Nova Scotia,173,0
Apr-02,Nova Scotia,193,0
Apr-03,Nova Scotia,207,0
Apr-04,Nova Scotia,236,0
Apr-05,Nova Scotia,262,0
Apr-06,Nova Scotia,293,0
Apr-07,Nova Scotia,310,1
Apr-08,Nova Scotia,310,1
Apr-09,Nova Scotia,342,1
Apr-10,Nova Scotia,407,2
Apr-11,Nova Scotia,428,2
Apr-12,Nova Scotia,445,2
Apr-13,Nova Scotia,474,3
Apr-14,Nova Scotia,517,3
Apr-15,Nova Scotia,549,3
Apr-16,Nova Scotia,579,3
Apr-17,Nova Scotia,606,4
Apr-18,Nova Scotia,649,7
Apr-19,Nova Scotia,675,9
Apr-20,Nova Scotia,721,9
Apr-21,Nova Scotia,737,10
Apr-22,Nova Scotia,772,12
Apr-23,Nova Scotia,827,16
Apr-24,Nova Scotia,850,16
Apr-25,Nova Scotia,865,22
Apr-26,Nova Scotia,873,24
Apr-27,Nova Scotia,900,24
Apr-28,Nova Scotia,915,27
Apr-29,Nova Scotia,935,28
Apr-30,Nova Scotia,947,28
May-01,Nova Scotia,959,29
May-02,Nova Scotia,963,31
May-03,Nova Scotia,971,37
May-04,Nova Scotia,985,38
May-05,Nova Scotia,991,41
May-06,Nova Scotia,998,41
May-07,Nova Scotia,1007,44
May-08,Nova Scotia,1008,46
May-09,Nova Scotia,1011,47
May-10,Nova Scotia,1018,47
May-11,Nova Scotia,1019,48
May-12,Nova Scotia,1020,48
May-13,Nova Scotia,1024,51
May-14,Nova Scotia,1026,51
May-15,Nova Scotia,1034,55
May-16,Nova Scotia,1037,55
May-17,Nova Scotia,1040,55
May-18,Nova Scotia,1043,55
May-19,Nova Scotia,1044,56
May-20,Nova Scotia,1045,57
May-21,Nova Scotia,1046,58
May-22,Nova Scotia,1048,58
May-23,Nova Scotia,1049,58
May-24,Nova Scotia,1050,58
May-25,Nova Scotia,1051,58
May-26,Nova Scotia,1052,59
May-27,Nova Scotia,1053,59
May-28,Nova Scotia,1055,59
May-29,Nova Scotia,1055,59
May-30,Nova Scotia,1056,60
May-31,Nova Scotia,1056,60
Jun-01,Nova Scotia,1057,60
Jun-02,Nova Scotia,1057,60
Jun-03,Nova Scotia,1058,60
Jun-04,Nova Scotia,1058,61
Jun-05,Nova Scotia,1058,61
Jun-06,Nova Scotia,1058,61
Jun-07,Nova Scotia,1059,61
Jun-08,Nova Scotia,1059,61
Jan-22,Ontario,0,0
Jan-23,Ontario,0,0
Jan-24,Ontario,0,0
Jan-25,Ontario,0,0
Jan-26,Ontario,1,0
Jan-27,Ontario,1,0
Jan-28,Ontario,1,0
Jan-29,Ontario,1,0
Jan-30,Ontario,1,0
Jan-31,Ontario,3,0
Feb-01,Ontario,3,0
Feb-02,Ontario,3,0
Feb-03,Ontario,3,0
Feb-04,Ontario,3,0
Feb-05,Ontario,3,0
Feb-06,Ontario,3,0
Feb-07,Ontario,3,0
Feb-08,Ontario,3,0
Feb-09,Ontario,3,0
Feb-10,Ontario,3,0
Feb-11,Ontario,3,0
Feb-12,Ontario,3,0
Feb-13,Ontario,3,0
Feb-14,Ontario,3,0
Feb-15,Ontario,3,0
Feb-16,Ontario,3,0
Feb-17,Ontario,3,0
Feb-18,Ontario,3,0
Feb-19,Ontario,3,0
Feb-20,Ontario,3,0
Feb-21,Ontario,3,0
Feb-22,Ontario,3,0
Feb-23,Ontario,3,0
Feb-24,Ontario,4,0
Feb-25,Ontario,4,0
Feb-26,Ontario,4,0
Feb-27,Ontario,6,0
Feb-28,Ontario,6,0
Feb-29,Ontario,11,0
Mar-01,Ontario,15,0
Mar-02,Ontario,18,0
Mar-03,Ontario,20,0
Mar-04,Ontario,20,0
Mar-05,Ontario,22,0
Mar-06,Ontario,25,0
Mar-07,Ontario,28,0
Mar-08,Ontario,29,0
Mar-09,Ontario,34,0
Mar-10,Ontario,36,0
Mar-11,Ontario,41,0
Mar-12,Ontario,42,0
Mar-13,Ontario,74,0
Mar-14,Ontario,79,0
Mar-15,Ontario,104,0
Mar-16,Ontario,177,0
Mar-17,Ontario,185,1
Mar-18,Ontario,221,1
Mar-19,Ontario,257,1
Mar-20,Ontario,308,2
Mar-21,Ontario,377,3
Mar-22,Ontario,425,5
Mar-23,Ontario,503,6
Mar-24,Ontario,588,7
Mar-25,Ontario,688,8
Mar-26,Ontario,858,13
Mar-27,Ontario,994,18
Mar-28,Ontario,1144,18
Mar-29,Ontario,1355,21
